Scheduling End,2741233516669
Makespan,2741233552923
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
1774.71,1777.49,1779.89,2.78099
1781.71,1788.86,1791.25,6.73725
1793.11,1799.08,1801.48,5.96692
1803.36,1809.15,1811.55,5.79538
1813.42,1819.05,1821.48,5.62597
1823.37,1828.86,1831.27,5.49259
1833.16,1838.82,1841.23,5.6516
1843.16,1848.36,1850.78,5.20248
1852.65,1857.6,1860.04,4.94062
1861.95,1866.52,1868.96,4.56833
1870.86,1875.14,1877.58,4.28032
1879.5,1883.55,1886.02,4.05776
1888.1,1892.02,1894.49,3.92216
1896.45,1900.32,1902.77,3.86863
1904.68,1908.23,1910.7,3.55187
1912.62,1916.11,1918.59,3.48657
1920.53,1924.02,1926.51,3.49782
1928.47,1931.93,1934.43,3.46455
1936.41,1940.28,1942.78,3.86816
1944.74,1948.14,1950.64,3.40032
1952.57,1955.97,1958.48,3.39898
1960.42,1963.76,1966.27,3.3475
1968.24,1971.5,1974.01,3.25965
1976.16,1979.54,1982.06,3.38026
1984.03,1987.34,1989.88,3.31128
1991.86,1995.48,1998.01,3.61444
2000.18,2003.46,2006.01,3.28905
2008,2011.6,2014.15,3.60277
2016.14,2019.39,2021.94,3.24834
2023.95,2027.52,2030.07,3.57328
2032.08,2035.49,2038.07,3.41439
2040.09,2043.4,2045.98,3.30571
2047.98,2051.47,2054.06,3.48629
2056.07,2059.53,2062.12,3.46327
2064.12,2067.39,2069.97,3.26236
2071.98,2075.33,2077.93,3.34878
2079.94,2083.73,2086.34,3.78201
2088.34,2091.73,2094.33,3.39125
2096.34,2099.59,2102.21,3.24781
2104.2,2107.52,2110.14,3.31687
2112.17,2115.53,2118.15,3.36424
2120.15,2123.54,2126.17,3.3848
2128.18,2131.62,2134.26,3.43644
2136.26,2139.73,2142.39,3.46793
2144.43,2148.01,2150.67,3.57864
2152.71,2156.04,2158.7,3.33115
2160.68,2164.1,2166.78,3.42147
2168.81,2172.28,2174.94,3.47071
2176.94,2180.47,2183.16,3.53191
2185.18,2188.7,2191.37,3.514
2193.39,2196.99,2199.69,3.60365
2201.68,2204.98,2207.69,3.30193
2209.71,2213.06,2215.77,3.35125
2217.79,2221.21,2223.93,3.41784
2225.94,2229.46,2232.18,3.51497
2234.23,2237.8,2240.55,3.56676
2242.58,2246.22,2248.96,3.64119
2251.02,2254.72,2257.42,3.695
2259.57,2263.86,2266.6,4.28329
2268.64,2272.4,2275.16,3.75932
2277.18,2280.85,2283.61,3.66924
2285.63,2288.98,2291.76,3.35195
2293.8,2297.23,2300.01,3.42309
2302.05,2305.45,2308.25,3.40444
2310.25,2313.74,2316.52,3.49322
2318.57,2322.1,2324.95,3.5362
2327.03,2330.64,2333.44,3.60842
2335.48,2339.01,2341.81,3.52921
2343.86,2347.45,2350.27,3.58905
2352.33,2355.94,2358.77,3.60543
2360.83,2364.51,2367.35,3.673
2369.39,2373.08,2375.92,3.69648
2377.93,2381.63,2384.48,3.70004
2386.46,2390.14,2393,3.67899
2395.01,2398.73,2401.59,3.72228
2403.61,2407.52,2410.39,3.90899
2412.42,2415.81,2418.68,3.39096
2420.71,2424.17,2427.05,3.45474
2429.07,2432.54,2435.44,3.4748
2437.47,2441.07,2443.96,3.60458
2445.99,2449.59,2452.49,3.60217
2454.53,2458.1,2461.04,3.57679
2463.13,2466.9,2469.33,3.77089
2471.39,2475.47,2478.39,4.08112
2480.43,2484.11,2487.03,3.6737
2489.06,2492.8,2495.75,3.74617
2497.85,2501.52,2504.47,3.66828
2506.51,2510.22,2513.18,3.70923
2515.21,2518.98,2522,3.76518
2524.37,2528.83,2531.28,4.46013
2533.4,2537.66,2540.11,4.25968
2542.21,2546.07,2548.53,3.85925
2550.65,2554.55,2557,3.89501
2559.24,2563.42,2565.9,4.18416
2568,2572.03,2574.51,4.03852
2576.58,2580.63,2583.11,4.04973
2585.2,2589.29,2591.77,4.09223
2593.86,2597.91,2600.41,4.05379
2602.5,2606.6,2609.08,4.10486
2611.16,2615.88,2618.47,4.71948
2620.64,2624.28,2626.87,3.64736
2628.99,2632.57,2635.09,3.58593
2637.17,2641.34,2643.87,4.16871
2646.02,2649.66,2652.19,3.64256
2654.31,2657.99,2660.52,3.67414
2662.66,2666.49,2669.04,3.83409
2671.27,2675.13,2677.65,3.85628
2679.79,2683.63,2686.16,3.83803
2688.27,2692.18,2694.73,3.90954
2696.91,2701.22,2703.96,4.30591
2706.11,2709.95,2712.89,3.84112
2715.07,2718.85,2721.78,3.77746
2723.96,2727.79,2730.45,3.824
2732.64,2736.53,2739.31,3.89178

