Scheduling End,95827386465
Makespan,96009310896
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
7.88718,7.88788,7.89039,0.00869211
7.90434,7.90501,7.90741,0.00866126
7.9212,7.92189,7.92449,0.00865457
7.93844,7.93914,7.94168,0.00874978
7.95563,7.95642,7.95907,0.00864723
7.97289,7.97362,7.97611,0.00875151
7.99021,7.99094,7.99342,0.00866275
8.0076,8.0084,8.01086,0.0086606
8.02444,8.02513,8.02778,0.00842594
8.04186,8.04258,8.04515,0.00869069
8.05915,8.05987,8.06232,0.00862217
8.07624,8.07687,8.07927,0.00858459
8.09333,8.09414,8.09687,0.0087109
8.11115,8.11183,8.11443,0.00870863
8.12874,8.12939,8.13195,0.00868034
8.14588,8.14663,8.14912,0.0086773
8.16308,8.16383,8.16634,0.00864395
8.1802,8.18091,8.18345,0.00864056
8.19725,8.19798,8.20045,0.00866102
8.21401,8.21468,8.21724,0.00848838
8.23121,8.23193,8.23444,0.00866629
8.24855,8.24928,8.25184,0.00862489
8.26651,8.26732,8.27008,0.00935494
8.28478,8.2855,8.28807,0.00868235
8.30206,8.30284,8.3053,0.00871895
8.31903,8.31976,8.32228,0.00867555
8.33613,8.33687,8.33934,0.0087751
8.35356,8.35431,8.35698,0.00883965
8.37103,8.37179,8.37436,0.00871613
8.38837,8.38915,8.39164,0.00863986
8.4056,8.40638,8.4088,0.00867643
8.42279,8.42354,8.42595,0.00854827
8.44021,8.44098,8.44354,0.00865309
8.4577,8.45842,8.46081,0.00862979
8.47431,8.47501,8.47747,0.00848655
8.49111,8.49182,8.49435,0.00862398
8.50847,8.50916,8.51185,0.00869635
8.52613,8.5268,8.52923,0.0087128
8.54249,8.54323,8.54578,0.00838674
8.55993,8.56064,8.56326,0.00868541
8.57739,8.57807,8.58067,0.00872289
8.59458,8.59537,8.59775,0.00867387
8.61098,8.6117,8.6142,0.00831934
8.62804,8.62871,8.63126,0.00865508
8.64528,8.64598,8.6487,0.00874297
8.66292,8.66363,8.66622,0.00880121
8.67957,8.68031,8.6829,0.00857352
8.69678,8.69747,8.69999,0.00879585
8.71356,8.71423,8.71679,0.00867747
8.73046,8.73116,8.73372,0.00862819
8.74717,8.74788,8.75049,0.00848444
8.76412,8.76486,8.76835,0.00871744
8.78307,8.78386,8.78666,0.00876177
8.80125,8.80208,8.80488,0.00876459
8.81958,8.82042,8.82321,0.00871256
8.8377,8.83839,8.84094,0.00873999
8.85504,8.85584,8.85835,0.00879131
8.87195,8.87267,8.87526,0.00859965
8.88961,8.8903,8.8927,0.00871937
8.90672,8.90748,8.90998,0.00874747
8.92425,8.92498,8.92755,0.00884907
8.94118,8.94197,8.94474,0.00868
8.95892,8.95965,8.96224,0.00887602
8.97656,8.97736,8.97992,0.00889914
8.99392,8.99464,8.99726,0.00873905
9.01134,9.01212,9.0146,0.00869226
9.02783,9.02861,9.03115,0.00848065
9.04529,9.04594,9.04844,0.00878553
9.06266,9.0634,9.06587,0.0088454
9.08019,9.0809,9.08336,0.00883476
9.09764,9.09835,9.10094,0.00879975
9.11506,9.11577,9.11833,0.00872961
9.1324,9.13313,9.13558,0.00877362
9.14941,9.15014,9.15257,0.00864119
9.16649,9.16722,9.16983,0.00859996
9.18351,9.18428,9.18673,0.008691
9.20083,9.20156,9.20404,0.00876071
9.21785,9.21861,9.22118,0.00871452
9.23528,9.23602,9.23848,0.00867397
9.25216,9.2529,9.25557,0.00867878
9.27044,9.27119,9.27387,0.00951804
9.28864,9.28942,9.29216,0.00882011
9.30665,9.30737,9.30983,0.0088041
9.32385,9.32449,9.32693,0.00872223
9.34076,9.34154,9.34399,0.00870597
9.35803,9.35872,9.36109,0.00873997
9.37477,9.37557,9.37813,0.00861676
9.39222,9.39292,9.39538,0.00878211
9.40937,9.41009,9.41271,0.00870337
9.42678,9.42756,9.4301,0.00884943
9.44437,9.44509,9.44756,0.00872233
9.46179,9.46252,9.46511,0.0087226
9.47921,9.47988,9.48258,0.00871654
9.4969,9.4976,9.50008,0.00866682
9.51365,9.51437,9.51697,0.00855114
9.53039,9.53107,9.53365,0.00844783
9.54727,9.54801,9.55063,0.00859979
9.56426,9.56493,9.56748,0.00861699
9.58172,9.58247,9.58511,0.00869302
9.59916,9.59987,9.60236,0.0086329
9.61627,9.61702,9.61958,0.00869664
9.6336,9.63429,9.63677,0.00870984
9.65048,9.65118,9.65369,0.00861253
9.66791,9.6686,9.67113,0.0088151
9.6855,9.68621,9.68871,0.00871684
9.70255,9.7033,9.70594,0.00870591
9.72,9.7207,9.72332,0.0086915
9.7373,9.73804,9.74049,0.00878747
9.7548,9.75555,9.75813,0.00869829
9.77297,9.77379,9.77646,0.00955274
9.79147,9.79229,9.79526,0.00886797
9.80995,9.81076,9.81356,0.00864565
9.82791,9.82867,9.83137,0.00860452
9.84612,9.84681,9.84961,0.00877862
9.86439,9.86515,9.86787,0.00868332
9.88266,9.8835,9.88631,0.00869414
