Scheduling End,78162327053
Makespan,93010913364
Schedule Repartition Time,Repartition Begin,Repartition End,Copy Duration
8.57339,8.57462,8.57865,0.00881726
8.59629,8.59755,8.60157,0.00899737
8.61833,8.6196,8.62355,0.00864779
8.64008,8.64137,8.64531,0.00860025
8.66179,8.66301,8.667,0.00852449
8.68389,8.68514,8.68915,0.00885448
8.70606,8.7073,8.71132,0.00883565
8.72825,8.72956,8.73361,0.00883482
8.75061,8.75187,8.7559,0.00881969
8.77291,8.77417,8.77827,0.00889133
8.79525,8.79648,8.80049,0.00881141
8.81723,8.81848,8.82247,0.00867761
8.83915,8.84039,8.84438,0.00865295
8.86125,8.86247,8.86648,0.0088197
8.8833,8.88452,8.8885,0.00873444
8.90529,8.90653,8.91053,0.00874842
8.92734,8.92857,8.93261,0.00874046
8.94956,8.95079,8.9548,0.00878755
8.97154,8.9728,8.9768,0.00866791
9.00801,9.00928,9.01391,0.0197966
9.03144,9.03277,9.03683,0.00924387
9.05365,9.0549,9.05892,0.00874668
9.07578,9.07704,9.08107,0.00873691
9.09839,9.09963,9.10362,0.00867979
9.12297,9.12421,9.12823,0.0110172
9.14488,9.14613,9.15012,0.00854739
9.16683,9.16806,9.17206,0.00864165
9.18894,9.19018,9.19421,0.00882394
9.21102,9.21225,9.21628,0.00873001
9.23315,9.23441,9.23847,0.00879184
9.25541,9.25666,9.26071,0.00880433
9.27771,9.27897,9.28306,0.00883434
9.29997,9.30126,9.30536,0.00873124
9.32234,9.3236,9.32766,0.00878484
9.34453,9.34581,9.3498,0.00868016
9.36675,9.36803,9.37205,0.00873814
9.3888,9.39003,9.39406,0.00868806
9.41088,9.41211,9.41612,0.00875801
9.43292,9.43416,9.43817,0.00870775
9.45494,9.4562,9.46018,0.00870659
9.47689,9.47813,9.48213,0.00867227
9.49894,9.50017,9.50418,0.00872276
9.52103,9.52225,9.5263,0.00877423
9.54319,9.54443,9.54846,0.00878556
9.56527,9.56651,9.5705,0.00868342
9.58775,9.58902,9.593,0.00920984
9.60964,9.61089,9.61489,0.00862332
9.63167,9.63291,9.6369,0.00873055
9.65393,9.65517,9.65922,0.00889132
9.67619,9.67746,9.68149,0.00877011
9.6984,9.69965,9.70372,0.0087745
9.72073,9.72198,9.72601,0.00879863
9.74284,9.74411,9.74811,0.00872748
9.76501,9.76627,9.77033,0.00883303
9.78725,9.78851,9.79256,0.00876059
9.80961,9.81087,9.81491,0.00883431
9.83171,9.83297,9.83699,0.00866502
9.85378,9.85501,9.85906,0.00870647
9.87593,9.8772,9.88122,0.0087366
9.89839,9.89964,9.90369,0.00890413
9.92051,9.9218,9.92584,0.0086742
9.94268,9.94395,9.94797,0.00872671
9.96485,9.9661,9.97014,0.00877798
9.98714,9.98837,9.99244,0.00888534
10.0095,10.0108,10.0148,0.0088646
10.0319,10.0332,10.0373,0.00888804
